# Position, FD Concentration, SPH Concentration
7.214428857715430299e-01,1.143515304977106101e-04,1.159484542968036215e-04
7.254509018036071621e-01,8.153667735229839597e-05,8.318476228976957778e-05
7.294589178356712944e-01,5.778179794163945448e-05,5.934064735704569954e-05
7.334669338677354267e-01,4.069649337752549831e-05,4.209200396435505833e-05
7.374749498997995589e-01,2.848732788257516598e-05,2.968896712191205237e-05
7.414829659318636912e-01,1.981874357739564960e-05,2.082323885004761687e-05
7.454909819639278235e-01,1.370348730980693841e-05,1.452342090342786075e-05
7.494989979959919557e-01,9.417108371356845654e-06,1.007318865503209704e-05
7.535070140280560880e-01,6.431857690539208292e-06,6.947884113504742141e-06
7.575150300601202202e-01,4.366048861435918201e-06,4.765802905453236341e-06
7.615230460921843525e-01,2.945608215124687969e-06,3.251083068278828507e-06
7.655310621242484848e-01,1.975133810347199211e-06,2.205663723427024591e-06
7.695390781563125060e-01,1.316297765548858550e-06,1.488266661380531758e-06
7.735470941883766383e-01,8.718640676413320110e-07,9.987656603346534222e-07
7.775551102204407705e-01,5.739596590887036390e-07,6.666520622522821652e-07
7.815631262525049028e-01,3.755371083866467484e-07,4.425875677159138980e-07
7.855711422845690350e-01,2.442104232354042073e-07,2.922640078859403747e-07
7.895791583166331673e-01,1.578397336442136875e-07,1.919727492364114854e-07
7.935871743486972996e-01,1.013935310186679384e-07,1.254307838372480362e-07
7.975951903807614318e-01,6.473615284697773156e-08,8.152322751337265132e-08
8.016032064128255641e-01,4.107969655140188218e-08,5.270888600281521566e-08
8.056112224448896963e-01,2.590909507376825929e-08,3.390192117399431782e-08
8.096192384769538286e-01,1.624137974841411685e-08,2.169280560965547282e-08
8.136272545090179609e-01,1.011906165427975981e-08,1.380928548077004406e-08
8.176352705410820931e-01,6.266213665431222183e-09,8.745891103604007128e-09
8.216432865731462254e-01,3.856726035883601771e-09,5.510966599570520172e-09
8.256513026052103577e-01,2.359293736790304449e-09,3.455063239103122615e-09
8.296593186372744899e-01,1.434484572108267159e-09,2.155274305099339211e-09
8.336673346693386222e-01,8.668848295663616459e-10,1.337769877993577374e-09
8.376753507014027544e-01,5.206904299563923208e-10,8.262409683960556520e-10
8.416833667334668867e-01,3.108504372814704645e-10,5.078000980721720112e-10
8.456913827655310190e-01,1.844497588733584318e-10,3.105660775968083018e-10
8.496993987975951512e-01,1.087828559013488816e-10,1.890188056888294452e-10
8.537074148296592835e-01,6.376753280547413974e-11,1.144881370031296774e-10
8.577154308617234157e-01,3.715323284266158888e-11,6.901369524330820734e-11
8.617234468937875480e-01,2.151555187374311422e-11,4.140419650614612928e-11
8.657314629258516803e-01,1.238421008701736540e-11,2.472309337235634950e-11
8.697394789579158125e-01,7.085086067636583803e-12,1.469351895963742031e-11
8.737474949899798338e-01,4.028877039603692762e-12,8.692179408242860340e-12
8.777555110220439660e-01,2.277120581015230579e-12,5.118312418508519212e-12
8.817635270541080983e-01,1.279240650730037258e-12,3.000099275216241183e-12
8.857715430861722306e-01,7.143051186847733171e-13,1.750534789100360579e-12
8.897795591182363628e-01,3.964438140106355187e-13,1.016828678217489096e-12
8.937875751503004951e-01,2.186990981360073602e-13,5.880069354878345761e-13
8.977955911823646273e-01,1.199170392546620385e-13,3.385248028760991135e-13
9.018036072144287596e-01,6.535584917601917252e-14,1.940384226664753765e-13
9.058116232464928919e-01,3.540452661112378291e-14,1.107363059387420849e-13
9.098196392785570241e-01,1.906360357872183799e-14,6.292355884715935592e-14
9.138276553106211564e-01,1.020291333807745541e-14,3.560191821601306505e-14
9.178356713426852886e-01,5.427720950020016948e-15,2.005794061500827453e-14
9.218436873747494209e-01,2.870027555089759220e-15,1.125299353140520741e-14
9.258517034068135532e-01,1.508450259401849808e-15,6.286871054797994954e-15
9.298597194388776854e-01,7.880493796568065260e-16,3.497854689264512018e-15
9.338677354709418177e-01,4.092178044041994619e-16,1.938142327890478604e-15
9.378757515030059499e-01,2.112201805464708450e-16,1.069552759670782007e-15
9.418837675350700822e-01,1.083670496742470751e-16,5.878510981080867005e-16
9.458917835671342145e-01,5.526385788586962836e-17,3.218080727018177356e-16
9.498997995991983467e-01,2.801356755604144583e-17,1.754716198819886014e-16
9.539078156312624790e-01,1.411497394445991477e-17,9.530441452293266665e-17
9.579158316633266113e-01,7.069315325987051808e-18,5.156216169645456495e-17
9.619238476953907435e-01,3.519341550446706548e-18,2.778925565413529796e-17
9.659318637274548758e-01,1.741539998210594663e-18,1.491990594741432599e-17
9.699398797595190080e-01,8.566327051329360186e-19,7.980208545505091379e-18
9.739478957915831403e-01,4.188381217480029723e-19,4.252427536730041151e-18
9.779559118236471615e-01,2.035585310040270089e-19,2.257613507669450729e-18
9.819639278557112938e-01,9.833885980923799307e-20,1.194174098188869713e-18
9.859719438877754261e-01,4.722315432569730417e-20,6.293704968177830193e-19
9.899799599198395583e-01,2.254135373769182589e-20,3.305072633772769515e-19
9.939879759519036906e-01,1.069550736393191034e-20,1.729444578083467990e-19
9.979959919839678228e-01,5.044526480605901694e-21,9.017752766979052014e-20
1.002004008016031955e+00,2.365038787366636463e-21,4.685661949426633887e-20
1.006012024048096087e+00,1.102189346009458172e-21,2.426271224807414324e-20
1.010020040080160220e+00,5.105937179522941895e-22,1.252040023190435071e-20
1.014028056112224352e+00,2.351241756632873974e-22,6.439055025454708019e-21
1.018036072144288484e+00,1.076274157943770882e-22,3.300392529551291174e-21
1.022044088176352616e+00,4.897264943148751787e-23,1.686020862597870926e-21
1.026052104208416749e+00,2.215086067894637950e-23,8.584765098138334507e-22
1.030060120240480881e+00,9.959446232736303149e-24,4.356885235155174882e-22
1.034068136272545013e+00,4.451318035478680250e-24,2.204042875534690448e-22
1.038076152304609145e+00,1.977662493857004749e-24,1.111409294239303227e-22
1.042084168336673278e+00,8.734280315140524890e-25,5.586654313950350164e-23
1.046092184368737410e+00,3.834553063164943637e-25,2.799412857570721794e-23
1.050100200400801542e+00,1.673463874711860530e-25,1.398404909727139758e-23
1.054108216432865675e+00,7.259942577706904522e-26,6.964069225790255284e-24
1.058116232464929807e+00,3.130881134184255667e-26,3.457566590035469065e-24
1.062124248496993939e+00,1.342201821352155151e-26,1.711466504702660428e-24
1.066132264529058071e+00,5.719897191433228185e-27,8.446358995377823222e-25
1.070140280561122204e+00,2.423143234186834196e-27,4.156106942462179361e-25
1.074148296593186336e+00,1.020449996176912044e-27,2.039071996426054645e-25
1.078156312625250468e+00,4.271962850606418451e-28,9.975152798336251520e-26
